latitude,longitude,ts
26.2803497,73.029033,2021-01-03 12:02:41.733
26.306898,72.9706006,2021-01-24 01:21:53.387
26.306898,72.9706006,2021-01-24 01:24:09.321
26.281381,73.0313259,2021-01-28 08:06:12.703
26.2803159,73.0291541,2021-01-28 08:06:32.660
26.2803244,73.0291595,2021-01-28 08:08:43.011
26.2803085,73.0291582,2021-01-28 08:12:11.066
26.2803085,73.0291582,2021-01-28 08:14:12.522
26.2803078,73.0291585,2021-01-28 08:16:13.614
26.2803064,73.0291565,2021-01-28 08:18:15.518
26.2803095,73.02916,2021-01-28 08:20:26.532
26.2803189,73.0291511,2021-01-28 08:20:56.787
26.2804086,73.0289403,2021-01-28 08:21:15.000
26.2804207,73.028947,2021-01-28 08:21:31.000
26.2804223,73.0289489,2021-01-28 08:21:47.000
26.2804433,73.0289498,2021-01-28 08:22:23.389
26.2810287,73.0293182,2021-01-28 08:22:40.000
26.2811208,73.0292877,2021-01-28 08:22:44.000
26.2820259,73.0291471,2021-01-28 08:24:47.731
26.2850491,73.019833,2021-01-28 08:27:11.481
26.2850491,73.019833,2021-01-28 08:29:20.022
26.2850491,73.019833,2021-01-28 08:31:31.833
26.2790714,73.0001218,2021-01-28 08:33:40.416
26.2790714,73.0001218,2021-01-28 08:36:04.186
26.2786371,72.991258,2021-01-28 08:36:33.118
26.2889393,73.0230017,2021-02-25 05:56:12.238
26.2883808,73.0206896,2021-02-25 05:58:21.585
26.2889393,73.0230017,2021-02-25 06:29:52.686
26.2884259,73.0207605,2021-02-25 06:32:09.143
26.2883801,73.0206904,2021-02-25 06:34:10.134
26.2883851,73.0206879,2021-02-25 06:40:18.346
26.2883852,73.020688,2021-02-25 06:42:18.366
26.2884366,73.0207545,2021-02-25 06:47:20.148
26.2884352,73.0207562,2021-02-25 06:48:17.844
26.2884351,73.0207539,2021-02-25 07:08:38.737
26.2883821,73.0206879,2021-02-25 07:10:39.790
26.2883837,73.0206883,2021-02-25 07:12:40.777
26.2802869,73.0291532,2021-03-01 10:34:03.013
26.2802869,73.0291532,2021-03-01 10:34:18.245
26.281381,73.0313259,2021-03-19 05:31:35.488
26.2803263,73.0291312,2021-03-19 05:32:46.407
26.2803434,73.0291068,2021-03-19 05:33:46.410
26.2807557,73.0292743,2021-03-23 15:46:36.552
26.2804406,73.0289592,2021-03-23 15:46:53.000
26.2804939,73.0289045,2021-03-23 15:47:09.000
26.2804982,73.0289492,2021-03-23 15:47:25.000
26.2805007,73.0289412,2021-03-23 15:47:34.000
26.2775843,73.0334806,2021-03-23 15:49:36.358
26.2775843,73.0334806,2021-03-23 15:52:06.006
26.2775843,73.0334806,2021-03-23 15:54:08.827
26.2775843,73.0334806,2021-03-23 15:56:17.859
26.2664679,73.0331881,2021-03-23 15:56:27.526
26.2665177,73.0235884,2021-03-23 15:58:36.950
26.2665263,73.023596,2021-03-23 16:00:38.898
26.2664876,73.0236292,2021-03-23 16:07:40.106
26.2664423,73.0235869,2021-03-23 16:10:02.164
26.266471,73.0236321,2021-03-23 16:12:31.480
26.2664973,73.0236163,2021-03-23 16:16:24.752
26.266509,73.0235575,2021-03-23 16:18:26.932
26.2664988,73.0235772,2021-03-23 16:20:27.918
26.2664966,73.0235479,2021-03-23 16:22:29.910
26.2665095,73.0236686,2021-03-23 16:24:31.306
26.2665087,73.023666,2021-03-23 16:26:32.302
26.2665002,73.0234801,2021-03-23 16:28:34.934
26.2664944,73.0235599,2021-03-23 16:30:35.934
26.2664328,73.023553,2021-03-23 16:32:17.115
26.2668501,73.022096,2021-03-23 16:33:31.999
26.2668501,73.022096,2021-03-23 16:33:53.071
26.2668237,73.02207,2021-03-23 16:36:01.040
26.2726267,73.0186486,2021-03-23 16:38:09.886
26.2742457,73.0069482,2021-03-23 16:40:11.045
26.2742115,73.0070544,2021-03-23 16:42:13.859
26.2742539,73.0070139,2021-03-23 16:44:14.853
26.2742584,73.0069064,2021-03-23 16:46:16.909
26.2741993,73.0070162,2021-03-23 16:48:23.986
26.2753623,73.0104665,2021-03-23 16:50:25.096
26.2753623,73.0104665,2021-03-23 16:51:33.174
26.2753623,73.0104665,2021-03-23 16:52:01.004
26.2841457,73.0179711,2021-03-23 16:54:02.135
26.2856532,73.0202366,2021-03-23 16:56:03.173
26.2889526,73.0256984,2021-03-23 16:58:05.105
26.2889416,73.0256979,2021-03-23 17:00:06.008
26.2889313,73.0257101,2021-03-23 17:02:07.080
26.2889181,73.0256985,2021-03-23 17:03:17.236
26.2888837,73.0257233,2021-03-23 17:03:42.051
26.2889075,73.0256722,2021-03-23 17:05:43.048
26.288881,73.0256784,2021-03-23 17:07:43.140
26.288828,73.0256942,2021-03-23 17:09:47.649
26.2888509,73.0257223,2021-03-23 17:11:54.969
26.2888509,73.0257223,2021-03-23 17:14:01.067
26.2888403,73.025722,2021-03-23 17:16:02.112
26.2888214,73.0257811,2021-03-23 17:18:03.882
26.2804161,73.0289481,2021-03-23 17:20:05.901
26.2804161,73.0289481,2021-03-23 17:22:07.951
26.2803724,73.029038,2021-03-23 17:24:08.997
26.2804125,73.0289465,2021-03-23 17:26:10.106
26.2804272,73.0289288,2021-03-23 17:28:11.126
26.2804162,73.0289422,2021-03-23 17:29:30.537
26.2804248,73.0289474,2021-03-23 17:29:55.144
26.2804136,73.0289606,2021-03-23 17:32:01.884
26.2804118,73.0289852,2021-03-23 17:34:09.941
26.2803761,73.029007,2021-03-23 17:38:15.530
26.2803996,73.0290018,2021-03-23 17:43:17.776
26.2804043,73.0289931,2021-03-23 17:44:40.104
26.2804081,73.0289522,2021-03-23 17:45:12.383
26.2804081,73.0289522,2021-03-23 17:47:13.418
26.2804155,73.0289422,2021-03-23 17:49:14.495
26.2803714,73.0290367,2021-03-23 17:55:17.615
26.2803739,73.0290338,2021-03-23 17:57:41.335
26.2803723,73.0290345,2021-03-23 18:19:59.942
26.2803973,73.0289774,2021-03-23 18:47:07.042
26.2803973,73.0289774,2021-03-23 19:23:37.461
26.2803973,73.0289774,2021-03-23 19:28:50.073
26.2804164,73.0289722,2021-03-23 19:29:10.102
26.280442,73.0289861,2021-03-23 19:40:45.250
26.280435,73.0289375,2021-03-23 19:41:05.252
26.2804396,73.0289361,2021-03-23 20:06:49.702
26.2804225,73.0289558,2021-03-23 20:37:20.840
26.2804225,73.0289558,2021-03-23 21:07:35.320
26.2804182,73.0289573,2021-03-23 21:23:49.498
26.2803582,73.0290565,2021-03-23 21:25:01.019
26.2804439,73.0289196,2021-03-23 22:02:37.352
26.280437,73.0289367,2021-03-23 22:05:02.065
26.2804355,73.0289329,2021-03-23 23:26:51.569
26.2804271,73.0289458,2021-03-23 23:29:03.030
26.2804246,73.0289527,2021-03-24 01:28:33.397
26.2804198,73.0289397,2021-03-24 02:04:35.230
26.2803997,73.0289688,2021-03-24 02:30:20.114
26.2804,73.0289715,2021-03-24 03:52:12.765
26.2804026,73.0289661,2021-03-24 04:04:19.082
26.2804185,73.028942,2021-03-24 04:04:39.052
26.2803607,73.0290405,2021-03-24 04:40:39.774
26.280406,73.0289983,2021-03-24 04:53:05.343
26.2804226,73.0289978,2021-03-24 04:53:25.284
26.2804208,73.0289729,2021-03-24 05:01:40.135
26.2804208,73.0289729,2021-03-24 05:02:07.876
26.2804575,73.0289196,2021-03-24 05:04:15.986
26.2804408,73.0289134,2021-03-24 05:40:18.213
26.2803671,73.0290399,2021-03-24 06:15:34.134
26.280366,73.0290387,2021-03-24 06:29:02.588
26.2803654,73.0290393,2021-03-24 06:50:46.469
26.2803651,73.0290409,2021-03-24 06:55:01.347
26.2803642,73.0290389,2021-03-24 07:03:37.759
26.2803638,73.0290398,2021-03-24 07:39:39.704
26.2803611,73.0290451,2021-03-24 08:16:03.381
26.281337,73.0311192,2021-03-24 08:18:51.398
26.2838856,73.013777,2021-04-02 13:47:21.351
26.2806216,73.0281674,2021-04-15 11:35:22.736
26.2804378,73.0289308,2021-04-15 11:35:41.702
26.280485,73.0289325,2021-04-15 11:35:59.000
26.2804013,73.028928,2021-04-15 11:36:14.000
26.2804195,73.0289456,2021-04-15 11:36:30.000
26.2804196,73.0289438,2021-04-15 11:36:46.000
26.2804206,73.0289336,2021-04-15 11:37:02.000
26.2804212,73.0289334,2021-04-15 11:37:18.000
26.2804215,73.0289322,2021-04-15 11:37:34.000
26.2804204,73.0289275,2021-04-15 11:37:50.000
26.2803937,73.0289131,2021-04-15 11:38:06.000
26.2803961,73.0289135,2021-04-15 11:38:21.000
26.2803964,73.0289136,2021-04-15 11:38:37.000
26.2803982,73.0289198,2021-04-15 11:38:52.000
26.2804014,73.0289153,2021-04-15 11:39:07.000
26.2804075,73.0289322,2021-04-15 11:39:22.000
26.2804107,73.0289977,2021-04-15 11:39:38.000
26.2804074,73.0289968,2021-04-15 11:39:53.000
26.2804043,73.0290012,2021-04-15 11:40:08.000
26.2804506,73.0289189,2021-04-15 11:42:33.970
26.2804258,73.0289536,2021-04-15 11:44:39.325
26.2804538,73.0289057,2021-04-15 11:46:39.327
26.2804548,73.0289065,2021-04-15 11:48:40.335
26.2804174,73.0289608,2021-04-15 11:50:52.208
26.2804174,73.0289608,2021-04-15 11:51:12.343
26.2804174,73.0289608,2021-04-15 11:52:52.859
26.2804174,73.0289608,2021-04-15 12:29:51.930
26.2804506,73.0289082,2021-04-15 12:44:30.269
26.2804471,73.0289149,2021-04-15 13:10:58.842
26.2804471,73.0289149,2021-04-15 13:15:33.406
26.2804471,73.0289149,2021-04-15 13:17:33.432
26.2804583,73.028898,2021-04-15 13:54:51.893
26.2804583,73.028898,2021-04-15 14:18:21.178
26.2803719,73.0290066,2021-04-15 14:18:57.432
26.2803719,73.0290066,2021-04-15 14:19:17.982
26.2803719,73.0290066,2021-04-15 14:19:39.227
26.2803719,73.0290066,2021-04-15 14:20:21.476
26.2803719,73.0290066,2021-04-15 14:23:06.870
26.2803719,73.0290066,2021-04-15 14:25:09.889
26.2803719,73.0290066,2021-04-15 14:27:10.881
26.2803719,73.0290066,2021-04-15 14:29:10.909
26.2803719,73.0290066,2021-04-15 14:31:10.935
26.2803719,73.0290066,2021-04-15 14:34:52.188
26.2804511,73.0289059,2021-04-15 14:40:04.252
26.2804549,73.0289064,2021-04-15 14:46:34.274
26.2804421,73.0289213,2021-04-15 14:53:05.588
26.280442,73.0289192,2021-04-15 15:03:34.531
26.280442,73.0289192,2021-04-15 15:40:07.656
26.2804561,73.0289111,2021-04-15 16:11:44.906
26.2807391,73.0280396,2021-04-16 05:50:10.233
26.2802611,73.0291516,2021-04-16 05:52:21.324
26.2802611,73.0291516,2021-04-16 05:54:21.362
26.2802611,73.0291516,2021-04-16 05:56:21.391
26.2802611,73.0291516,2021-04-16 05:58:21.415
26.2802611,73.0291516,2021-04-16 05:59:16.254
26.2802611,73.0291516,2021-04-16 06:00:03.111
26.2802442,73.0291747,2021-04-16 06:07:24.184
26.2802442,73.0291747,2021-04-16 06:10:37.981
26.2802442,73.0291747,2021-04-16 06:12:37.996
26.2802442,73.0291747,2021-04-16 06:14:38.018
26.2802442,73.0291747,2021-04-16 06:16:38.041
26.2802442,73.0291747,2021-04-16 06:18:48.224
26.2802442,73.0291747,2021-04-16 06:21:05.459
26.2802442,73.0291747,2021-04-16 06:23:05.487
26.2802442,73.0291747,2021-04-16 06:25:13.256
26.2802442,73.0291747,2021-04-16 06:27:13.277
26.2802431,73.0291763,2021-04-16 06:28:49.620
26.2802452,73.0291698,2021-04-16 06:51:05.859
26.2802332,73.0291735,2021-04-16 06:51:38.761
26.2814591,73.0314171,2021-04-16 08:06:22.319
26.2802398,73.0291665,2021-04-16 08:06:42.660
26.2802435,73.029166,2021-04-16 08:07:01.501
26.2802421,73.0291637,2021-04-16 08:20:28.877
26.2802421,73.0291637,2021-04-16 08:20:44.304
26.2802421,73.0291637,2021-04-16 08:22:42.328
26.280414,73.0289561,2021-04-16 08:48:23.407
26.2807391,73.0280396,2021-05-18 12:13:35.120
26.2807391,73.0280396,2021-05-18 12:15:35.752
26.2807391,73.0280396,2021-05-19 12:08:30.908
26.2802413,73.0291767,2021-05-19 12:11:01.459
26.2807391,73.0280396,2021-05-20 12:21:40.206
26.2802705,73.0290352,2021-05-20 12:26:00.513
26.2806216,73.0281674,2021-05-21 12:27:20.025
26.2806216,73.0281674,2021-05-21 12:28:13.050
26.2806216,73.0281674,2021-05-21 13:00:37.996
26.2806216,73.0281674,2021-05-21 13:02:38.846
26.2806216,73.0281674,2021-05-23 12:16:34.379
26.2806216,73.0281674,2021-05-23 12:18:35.754
26.2806216,73.0281674,2021-05-23 12:20:36.572
26.2806216,73.0281674,2021-05-23 12:22:34.353
26.2802444,73.0291733,2021-05-23 12:22:55.447
26.2802444,73.0291733,2021-05-23 12:25:00.357
26.2802444,73.0291733,2021-05-23 12:27:00.374
26.2802444,73.0291733,2021-05-23 12:29:00.389
26.2802444,73.0291733,2021-05-23 12:31:00.409
26.2596897,72.9883149,2021-07-11 12:10:26.983
26.2810688,73.0289054,2021-07-14 13:25:32.720
26.280874,73.0294455,2021-07-14 13:25:41.000
26.2769835,73.0310368,2021-07-14 13:27:06.568
26.2769174,73.0310942,2021-07-14 13:27:08.000
26.2803085,73.0285364,2021-07-25 08:49:39.427
26.2803839,73.0290186,2021-07-25 08:50:02.316
26.2803999,73.0289952,2021-07-25 08:52:02.319
26.2803754,73.0290361,2021-07-25 09:02:05.259
26.2803839,73.0290264,2021-07-25 09:06:44.106
26.2804172,73.0289948,2021-07-25 09:10:01.034
26.280289,73.0291643,2021-07-25 09:17:12.674
26.280289,73.0291643,2021-07-25 09:21:40.721
26.2802945,73.0291668,2021-07-25 09:30:35.983
26.2802945,73.0291668,2021-07-25 09:32:37.822
26.2802945,73.0291668,2021-07-25 09:34:38.911
26.2802948,73.0291672,2021-07-25 09:36:42.581
26.2802912,73.02917,2021-07-25 09:42:50.203
26.2802912,73.02917,2021-07-25 09:44:50.318
26.2802912,73.02917,2021-07-25 10:22:51.295
26.2802941,73.0291698,2021-07-25 10:36:31.906
26.2802951,73.029171,2021-07-25 10:38:35.096
26.2802951,73.029171,2021-07-25 10:40:36.125
26.2802951,73.029171,2021-07-25 10:42:36.155
26.2802925,73.029164,2021-07-25 10:44:37.245
26.2802948,73.0291661,2021-07-25 10:46:37.256
26.2802948,73.0291661,2021-07-25 10:48:38.299
26.280289,73.0291643,2021-07-25 10:50:38.355
26.2803636,73.0290601,2021-07-25 11:01:01.084
26.2802955,73.029169,2021-07-25 11:40:08.295
26.2803583,73.0290671,2021-07-25 11:55:52.225
26.2803583,73.0290671,2021-07-25 12:08:17.273
26.2804034,73.0289939,2021-07-25 12:17:54.179
26.2804034,73.0289939,2021-07-25 12:19:54.257
26.2803293,73.0290973,2021-07-25 12:22:06.605
26.2803352,73.0290904,2021-07-25 12:24:14.133
26.2803709,73.0290443,2021-07-25 12:26:15.147
26.2804059,73.0289907,2021-07-25 12:28:24.319
26.2804142,73.0289648,2021-07-25 12:30:26.335
26.2804381,73.0289703,2021-07-25 12:34:28.375
26.2804604,73.0289456,2021-07-25 12:36:28.421
26.2804421,73.0289661,2021-07-25 12:56:03.451
26.2804421,73.0289661,2021-07-25 12:58:52.304
26.2804421,73.0289661,2021-07-25 13:01:02.783
26.2804258,73.0289499,2021-07-25 13:03:05.083
26.2803636,73.0290601,2021-07-25 13:13:19.444
26.2803636,73.0290601,2021-07-25 13:43:21.425
26.2802895,73.0291708,2021-07-25 14:03:06.527
26.2802912,73.02917,2021-07-25 14:03:26.525
26.280295,73.0291665,2021-07-25 14:05:59.177
26.280295,73.0291665,2021-07-25 14:08:31.065
26.2802944,73.0291685,2021-07-25 14:25:23.873
